01141-040, Várzea da Barra Funda, São Paulo, SP
12946-875, Alpes de Atibaia, Atibaia, SP
12946-876, Alpes de Atibaia, Atibaia, SP
12946-877, Loteamento Jardim Solares, Atibaia, SP
12946-878, Loteamento Jardim Solares, Atibaia, SP
12946-879, Loteamento Jardim Solares, Atibaia, SP
12946-880, Loteamento Jardim Solares, Atibaia, SP
12946-881, Loteamento Jardim Solares, Atibaia, SP
12946-882, Loteamento Jardim Solares, Atibaia, SP
12946-883, Refúgio, Atibaia, SP
12946-890, Loteamento Jardim Solares, Atibaia, SP
12946-895, Cachoeira, Atibaia, SP
12946-896, Cachoeira, Atibaia, SP
12946-898, Cachoeira, Atibaia, SP
12947-000, Jardim Paulista, Atibaia, SP
12947-001, Vila Helena, Atibaia, SP
12947-002, Vila Helena, Atibaia, SP
12947-003, Vila Santo Antônio, Atibaia, SP
12947-006, Vila Santo Antônio, Atibaia, SP
12947-010, Jardim Paulista, Atibaia, SP
12947-011, Jardim Paulista, Atibaia, SP
12947-012, Jardim Paulista, Atibaia, SP
12947-013, Jardim Paulista, Atibaia, SP
12947-014, Jardim Paulista, Atibaia, SP
12947-020, Vila Helena, Atibaia, SP
12947-023, Vila Helena, Atibaia, SP
12947-050, Itapetinga, Atibaia, SP
12947-051, Vila Helena, Atibaia, SP
12947-052, Jardim Paulista, Atibaia, SP
12947-060, Vila Helena, Atibaia, SP
12947-063, Jardim Paulista, Atibaia, SP
12947-070, Jardim do Lago, Atibaia, SP
12947-080, Jardim do Lago, Atibaia, SP
12947-083, Jardim do Lago, Atibaia, SP
12947-090, Jardim do Lago, Atibaia, SP
12947-100, Jardim do Lago, Atibaia, SP
12947-110, Jardim do Lago, Atibaia, SP
12947-111, Jardim do Lago, Atibaia, SP
12947-120, Jardim do Lago, Atibaia, SP
12947-260, Jardim do Lago, Atibaia, SP
12947-421, Jardim Paulista, Atibaia, SP
12948-020, Jardim Shangri-Lá, Atibaia, SP
12948-021, Jardim Shangri-Lá, Atibaia, SP
12948-022, Jardim Shangri-Lá, Atibaia, SP
12948-023, Jardim Shangri-Lá, Atibaia, SP
12948-024, Jardim Shangri-Lá, Atibaia, SP
12948-025, Jardim Shangri-Lá, Atibaia, SP
12948-026, Jardim Shangri-Lá, Atibaia, SP
12948-027, Jardim Shangri-Lá, Atibaia, SP
12948-028, Jardim Shangri-Lá, Atibaia, SP
12948-029, Jardim Shangri-Lá, Atibaia, SP
12948-030, Jardim Shangri-Lá, Atibaia, SP
12948-050, Condomínio Terras de Santa Luiza, Atibaia, SP
12948-051, Condomínio Terras de Santa Luiza, Atibaia, SP
12948-080, Jardim Centenário, Atibaia, SP
12948-081, Jardim Centenário, Atibaia, SP
12948-082, Jardim Centenário, Atibaia, SP
12948-083, Jardim Centenário, Atibaia, SP
12948-084, Jardim Centenário, Atibaia, SP
12948-085, Jardim Centenário, Atibaia, SP
12948-086, Jardim Centenário, Atibaia, SP
12948-090, Rosário, Atibaia, SP
12948-091, Rosário, Atibaia, SP
12948-092, Rosário, Atibaia, SP
12948-093, Rosário, Atibaia, SP
12948-094, Rosário, Atibaia, SP
12948-095, Rosário, Atibaia, SP
12948-096, Rosário, Atibaia, SP
12948-098, Rosário, Atibaia, SP
12948-100, Rosário, Atibaia, SP
12948-102, Rosário, Atibaia, SP
12948-104, Rosário, Atibaia, SP
12948-109, Portão, Atibaia, SP
12948-110, Portão, Atibaia, SP
12948-111, Portão, Atibaia, SP
12948-112, Estância Santa Maria do Portão, Atibaia, SP
12948-113, Portão, Atibaia, SP
12948-114, Portão, Atibaia, SP
12948-115, Portão, Atibaia, SP
12948-116, Portão, Atibaia, SP
12948-117, Portão, Atibaia, SP
12948-118, Portão, Atibaia, SP
12948-119, Portão, Atibaia, SP
12948-120, Portão, Atibaia, SP
12948-121, Portão, Atibaia, SP
12948-122, Portão, Atibaia, SP
12948-123, Portão, Atibaia, SP
12948-124, Portão, Atibaia, SP
12948-125, Portão, Atibaia, SP
12948-126, Portão, Atibaia, SP
12948-127, Portão, Atibaia, SP
12948-128, Portão, Atibaia, SP
12948-129, Portão, Atibaia, SP
12948-130, Portão, Atibaia, SP
